Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Александренко;Пантелеймон;Олегович;male;1940-10-29;Науковець;село Чуднів;площа Українська, буд. 97, Білозерське, 78367;+380 32 968 97 56;ivanchenkonadiia@example.com
Данилюк;Августин;Володимирович;male;1961-08-04;Кінокритик;місто Таврійськ;площа Хімічний 3-й, буд. 6 кв. 30, Волочиськ, 93558;867 00 95;tytarenkokyrylo@example.net
Фурс;Марина;Євгенівна;female;1971-06-05;Мовознавець;село Почаїв;набережна Одеська, буд. 606 кв. 4, Верхньодніпровськ, 06613;919 45 60;khudobiakbohuslav@example.com
Вертипорох;Любов;Євгенівна;female;1997-09-17;Стропальник;село Соснівка ;сквер Джутовий, буд. 708 кв. 02, Великі Мости, 34435;929 65 21;albinashtokalo@example.org
Байрак;Аарон;Ілліч;male;2001-01-05;Електрослюсар;хутір Бровари;проспект Чорноморського козацтва, буд. 80 кв. 6, Зборів, 28717;844-10-08;ilchenkoemiliia@example.com
Бездітко;Борислав;Петрович;male;2008-03-07;Провізор;село Новогродівка;узвіз Амбулаторний 1-й, буд. 6, Кременчук, 82799;+380 (96) 761-45-51;milenabairak@example.net
Артим;Марта;Геннадіївна;female;1985-10-12;Петрограф;хутір Хмільник;площа Ювілейний 1-й, буд. 7, Борщів, 89097;+380 47 096-26-94;izhakvalerii@example.com
Ґереґа;Ольга;Сергіївна;female;1973-08-24;Скульптор;місто Кам'янка-Дніпровська;проспект Шилова, буд. 1, Сновськ, 16276;082 928-30-26;vasylashkodmytro@example.com
Базавлученко;Макар;Васильович;male;1982-11-03;Диригент;селище Тульчин;парк Новосельского, буд. 2, Зоринськ, 01994;+380 69 104 48 35;danromanenko@example.com
Яремків;Клавдія;Андріївна;female;1992-04-03;Астрофізик;місто Хорол ;шосе Пересипська 9-та, буд. 9 кв. 545, Коростень, 42154;037 309-96-17;arsenhunko@example.net
Бабиченко;Ганна;Миколаївна;female;1994-06-10;Антрополог;місто Івано-Франківськ;вулиця Ольгіївський узвіз, буд. 825 кв. 5, Полонне, 74919;+380 (87) 293-12-79;marta07@example.org
Дрозденко;Аніта;Олегівна;female;1957-06-28;Штукатур;селище Скадовськ;набережна Гетьманський, буд. 181, Сімферополь, 84412;048 292-14-92;kshmorhun@example.org
Ірванець;Оксенія;Геннадіївна;female;2004-03-06;Різноробочий;місто Щолкіне;узвіз Миколи Вороного, буд. 25 кв. 005, Броди, 42173;405-07-78;vertyporokhzynovii@example.org
Базилевський;Макар;Олегович;male;1979-02-01;Психолог;селище Березань ;узвіз Пастера, буд. 4, Глухів, 22791;000 362 62 19;riaboshapkaada@example.net
Забашта;Трохим;Олегович;male;1978-08-12;Реабілітолог;село Благовіщенське;сквер Лесі Українки, буд. 1, Заліщики, 82207;082 907-77-26;feofanhavryliv@example.org
Туркало;Амвросій;Іванович;male;1943-03-28;Каскадер;село Луганськ;вулиця Стахановський 4-й, буд. 759, Антрацит , 81072;425-04-08;arsen93@example.net
Стельмах;Амвросій;Дмитрович;male;1944-07-27;Мовознавець;хутір Шаргород;шосе Авангардна, буд. 79, Вараш, 13423;+380 40 767-37-92;snizhana48@example.org
Юрченко;Валентина;Романівна;female;1999-01-11;Петрограф;селище Ірпінь;парк Станційна 3-тя, буд. 980, Бердянськ, 87444;+380 (29) 426-33-69;orlykorkhyp@example.net
Талан;Франц;Сергійович;male;1968-11-12;Зоолог;хутір Підгайці;узвіз Шота Руставелі, буд. 83, Самбір, 90391;+380 80 770 29 65;adam65@example.com
Рак;Орхип;Іванович;male;1970-01-08;Економіст;хутір Боярка;площа Амундсена, 3-й, буд. 31 кв. 9, Голубівка, 12854;+380 (29) 044-56-10;iaremamishchenko@example.net
Абрамчук;Наталія;Романівна;female;1955-01-01;Каскадер;селище Кадіївка;шосе Рожева, буд. 641 кв. 577, Бориспіль, 21921;+380 26 078-48-21;liliiaiakovenko@example.com
Чайка;Аврелій;Олександрович;male;1942-05-10;Кінорежисер;селище Новодністровськ;шосе Лютеранський, буд. 34, Теребовля, 04100;025 355-73-51;irena70@example.com
Шиян;Болеслав;Васильович;male;1990-01-08;Ботанік;село Глухів;шосе 11-та Лінія Марії Демченко, буд. 08 кв. 04, Тетіїв, 82151;017 334-23-74;havrylenkoiarema@example.org
Таран;Ярослав;Миколайович;male;1991-07-22;Юрист;селище Коломия;проспект Компасний, буд. 0, Коростень, 67957;+380 77 392-06-57;mykhailoprykhodko@example.com
Баранець;Богдан;Богданович;male;1956-04-12;Штукатур;селище Вугледар;шосе Наявний 4-й, буд. 401, Стебник, 56811;424-61-00;larysahavryliuk@example.com
Щорс;Тарас;Анатолійович;male;2004-12-24;Дантист;селище Глухів;парк Левкоєва, буд. 72, Кривий Ріг, 75599;060 365 20 69;marta54@example.net
Коваленко;Ярослав;Петрович;male;1991-03-29;Кіноактор;селище Тиврів;проспект Лермонтовський 2-й, буд. 54 кв. 16, Біла Церква, 56145;+380 15 754-16-20;khrystynavasylashko@example.net
Даниленко;Демʼян;Євгенович;male;1993-07-27;Слідчий;село Деражня;провулок Левадна, буд. 494 кв. 1, Боярка, 48820;083 177-97-20;solomiiabaidak@example.net
Артеменко;Михайлина;Степанівна;female;1995-09-09;Соціолог;хутір Лутугине;проспект Черняховського, буд. 068, Чорнобиль, 04441;825 86 33;akonoplenko@example.org
Свириденко;Єлисей;Романович;male;1968-03-06;Мірошник;селище Бердичів;шосе Кордонна, буд. 675 кв. 76, Географія Вільнянська, 19597;057 294-40-53;iryna77@example.org
Сич;Аврелій;Миколайович;male;1988-03-07;Державний службовець;місто Долинська;провулок Листяний, буд. 925, Хирів, 18431;248 57 72;amaliiavyshniak@example.com
Ященко;Августин;Геннадійович;male;1965-06-24;Бібліотекар;місто Алупка;набережна Локомотивний 4-й, буд. 029, Кам'янець-Подільський, 54054;+380 (22) 916-31-93;viktor76@example.net
Петрик;Пантелеймон;Миколайович;male;1990-11-19;Письменник;село Харцизьк;парк Дідріхсона, буд. 6 кв. 98, Почаїв, 36282;+380 56 760-10-81;dashenkozakhar@example.org
Данилюк;Василь;Євгенович;male;1981-08-20;Фольклорист;селище Дубно;сквер Китобійний 2-й, буд. 30 кв. 118, Підгайці, 67344;+380 91 370-13-53;danylo72@example.com
Нестайко;Юхим;Юрійович;male;1949-03-24;Дерун;хутір Борислав;набережна Відважних, буд. 798 кв. 00, Берислав, 93658;611-67-19;mazhazha@example.com
Данильчук;Мирослав;Богданович;male;1959-07-12;Драматург;селище Берислав;узвіз 2-га Лінія Марії Демченко, буд. 0 кв. 7, Гадяч, 38894;094 02 71;zakhar57@example.com
Свириденко;Пилип;Дмитрович;male;1941-10-09;Штукатур;село Дубляни;узвіз Зелена балка, буд. 013 кв. 13, Вільногірськ, 79614;327 21 11;wdanylchuk@example.com
Артеменко;Варфоломій;Євгенович;male;1958-03-16;Ветеринар;хутір Сватове;площа Нежданової, буд. 711 кв. 54, Ровеньки, 11452;043 253-73-31;haidaizakhar@example.com
Хмара;Теодор;Сергійович;male;1963-08-31;Кінорежисер;селище Зимогір'я;сквер Сосюри, буд. 98, Ворожба, 27005;+380 41 406 53 41;mykolai23@example.org
Бабариченко;Варвара;Дмитрівна;female;1999-05-21;Провізор;хутір Жданівка;площа Посмітного, буд. 3, Краматорськ, 72608;134-16-34;verhunherman@example.net
Шамрай;Федір;Романович;male;1991-11-05;Піаніст;село Коломия;провулок Сирітський 2-й, буд. 4, Узин, 21587;055 900 76 27;spaspetliura@example.net
Дашенко;Орися;Дмитрівна;female;1973-02-28;Художник;село Перевальськ;парк Пішонівська, буд. 150, Яворів, 30152;538-33-46;thaida@example.org
Щербак;Кирило;Юрійович;male;1963-02-17;Електрик;місто Дебальцеве;вулиця Промислова, буд. 33 кв. 1, Амвросіївка, 57635;+380 22 871-20-86;verhunomelian@example.org
Фаренюк;Богуслава;Олександрівна;female;1967-05-06;Ботанік;хутір Рівне;провулок Архітектурна, буд. 86, Покровськ, 06669;+380 49 647 08 32;tytarenkopriska@example.com
Шаповал;Віра;Петрівна;female;1970-12-24;Епідеміолог;місто Біляївка;парк Травневий 1-й, буд. 460, Підгайці, 23245;099 855-36-85;khuzii@example.org
Теліженко;Соломія;Олександрівна;female;1957-04-10;Ріелтор;село Семенівка;парк Вапняний 2-й, буд. 667, Родинське, 55235;+380 07 437 24 42;valentyna96@example.net
Гунько;Ярема;Юрійович;male;1993-10-26;Кінолог;місто Ворожба;сквер Тепличний 2-й, буд. 27, Лебедин, 16724;097 887-51-83;asaulafrants@example.org
Кальченко;Трохим;Васильович;male;1950-09-25;Модельєр;селище Вишгород;вулиця Морська, буд. 30, Сорокине, 19329;015 836 97 32;dmytro12@example.com
Ільченко;Алевтин;Олегович;male;1942-11-16;Фотограф;місто Сєвєродонецьк;набережна Соляний 7-й, буд. 9, Борислав, 52329;854 67 68;orysiapelekh@example.com
Редько;Вікторія;Іллівна;female;1956-01-11;Детектив;місто Чернігів;вулиця Листяний, буд. 5, Жмеринка, 23193;723-12-02;dupliilevko@example.org
Дробаха;Євген;Анатолійович;male;2000-05-31;Водій;хутір Горішні Плавні;провулок Висоцького, буд. 2 кв. 7, Червоносів, 89937;053 607-29-73;tiahnybokiaryna@example.net
Єщенко;Леон;Володимирович;male;1976-06-22;Продюсер;селище Заводське;парк Чубаївський, буд. 843 кв. 75, Арциз, 57117;+380 (67) 595-31-64;dtovstolis@example.net
Гайворонський;Леон;Васильович;male;1984-06-16;Ветеринар;хутір Радехів;вулиця Центральна, буд. 943, Радивилів, 76753;+380 56 214-39-11;ndankiv@example.org
Батюк;Богодар;Богданович;male;1942-03-09;Зоолог;селище Прилуки;вулиця Старобазарний, буд. 189 кв. 4, Лубни, 30169;+380 56 174-14-08;emiliiaievtushok@example.org
Дрозденко;Захар;Романович;male;1942-03-29;Співак;селище Узин;шосе Килимовий, буд. 0 кв. 184, Красногорівка, 66098;980 04 09;stepanpelekh@example.net
Бабиченко;Варвара;Анатоліївна;female;1969-07-01;Модельєр;хутір Енергодар;проспект Педагогічний, буд. 829 кв. 756, Бережани, 32153;+380 73 459 07 20;iustynavyshyvanyi@example.net
Лемешко;Валерій;Євгенович;male;1981-10-17;Музичний редактор;місто Березне;узвіз Серединський, буд. 28, Козятин, 21730;790 90 43;iemetsvarvara@example.org
Устенко;Марина;Максимівна;female;1981-03-09;Редактор;селище Білопілля;провулок Сосюри, буд. 6 кв. 949, Боярка, 26482;+380 35 749 35 81;utytarenko@example.org
Жадан;Августин;Степанович;male;1958-02-22;Астрофізик;селище Первомайськ;шосе Золотий берег, буд. 3, Покров, 19756;070 833 23 01;durdynetsnestor@example.net
Зарудний;Панас;Ілліч;male;1980-11-28;Золотар;село Суходільськ;шосе Богдана Хмельницького, буд. 57, Бар, 40882;041 890 52 78;illia55@example.com
Фастенко;Августин;Романович;male;1975-06-12;Локсмайстер;хутір Звенигородка;площа Канатний, буд. 6 кв. 959, Носівка, 16538;+380 (65) 807-04-14;milenatiahnybok@example.net
Забара;Веніямин;Геннадійович;male;1948-04-24;Палеонтолог;місто Яремче;провулок Коцебу міст, буд. 739, Вишневе , 68550;808 61 50;chornovilillia@example.org
Тесля;Соломія;Романівна;female;1959-03-16;Футболіст;село Хрестівка;набережна 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 6 кв. 98, Арциз, 20252;+380 (51) 132-31-29;wieromenko@example.org
Червоненко;Трохим;Геннадійович;male;1947-09-07;Ді-джей;селище Немирів;площа 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 734 кв. 6, Сторожинець, 72414;+380 19 434-26-48;viktorvakulenko@example.org
Дубас;Василина;Іванівна;female;1992-03-21;Математик;селище Заставна;набережна Вчительська, буд. 74, Чоп, 68076;+380 75 879-68-00;sirkoanzhela@example.net
Андрейко;Мілена;Юріївна;female;1997-11-05;Гицель;хутір Підгородне;парк Берегова, буд. 9, Джанкой, 29843;+380 05 232 68 18;saienkofrants@example.com
Козак;Болеслав;Олегович;male;1954-07-23;Фольклорист;хутір Кипуче;площа Заводська, буд. 48, Балта, 06787;+380 35 879-32-27;ulaba@example.com
Тимчук;Трохим;Романович;male;1960-10-31;Бізнесмен;хутір Кривий Ріг;набережна 8-ма Суворовська, буд. 7, Косів, 67163;+380 32 145-43-99;iemetsnestor@example.org
Безбородько;Михайло;Миколайович;male;1983-02-05;Музикознавець;хутір Герца;узвіз Москеті, буд. 6 кв. 92, Красноперекопськ, 71643;096-08-28;kyrylohuz@example.com
Козак;Охрім;Олександрович;male;1997-06-02;Державний службовець;хутір Кам'янка-Дніпровська;парк Академічна, буд. 524 кв. 79, Бурштин , 78716;059 110-44-30;les63@example.com
Акименко;Сніжана;Геннадіївна;female;1942-02-17;Підприємець;місто Нова Одеса;узвіз Тупиковий, буд. 28 кв. 0, Вижниця, 42790;044 042 73 64;halynadeineko@example.org
Гречко;Арсен;Геннадійович;male;2001-04-25;Музикознавець;місто Свалява;узвіз Отамана Головатого, буд. 69, Решетилівка, 38316;+380 79 470-04-18;mromanenko@example.com
Журба;Мартин;Максимович;male;1948-11-30;Режисер;село Красногорівка;парк Наявний 7-й, буд. 79, Броди, 16883;+380 03 474-72-00;vakarchukonysym@example.org
Черінько;Леопольд;Анатолійович;male;1971-11-17;Кушнір;селище Дубно;провулок Герцена, буд. 46 кв. 917, Іловайськ, 49148;+380 74 026-54-88;fsalii@example.com
Пелех;Дан;Петрович;male;1945-02-19;Підприємець;хутір Миколаївка ;проспект Олександра Невського 1-й, буд. 631 кв. 741, Гадяч, 03284;027 338 94 15;mykhailo62@example.net
Павленко;Ганна;Анатоліївна;female;1995-10-18;Бухгалтер;село Білогірськ;шосе Кримська, буд. 634 кв. 91, Ковель, 07263;763-26-71;ihorvovk@example.net
Ірванець;Варфоломій;Миколайович;male;1962-01-10;Соціолог;хутір Яворів;парк Ланжеронівський узвіз, буд. 11 кв. 7, Бібрка, 88101;365-72-34;mazepasolomon@example.org
Редько;Євген;Дмитрович;male;1943-09-29;Електрослюсар;місто Інкерман;узвіз Кленова, буд. 659, Кіцмань, 15976;840-44-20;gzinchenko@example.org
Вдовенко;Надія;Богданівна;female;1977-11-27;Сантехнік;місто Кам'янське;шосе Дальній, буд. 7, Тараща, 50122;945 81 94;orysiatkachenko@example.org
Бакуменко;Леопольд;Богданович;male;1947-06-23;Випробувач;селище Березівка;сквер 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 83, Бобровиця, 45485;+380 (65) 962-73-58;sahallevko@example.com
Цимбал;Ігор;Юрійович;male;1991-05-01;Клавішник;хутір Молочанськ;проспект Жасминна, буд. 0, Бориспіль, 37226;016 324 93 40;xhabelko@example.net
Макаренко;Галина;Геннадіївна;female;1974-03-26;Акушер;селище Буринь;проспект Каштанова, буд. 1 кв. 7, Вільнянськ, 36712;022 00 91;xzhaivoron@example.com
Базилевич;Захар;Андрійович;male;1942-03-07;Кінолог;хутір Жидачів;площа Наявний 5-й, буд. 3 кв. 258, Корюківка, 98785;664 65 45;oleksandrkyrylenko@example.org
Бандура;Владислав;Володимирович;male;1998-04-28;Географ;село Полонне;вулиця Давида Ойстраха, буд. 11, Бахмач, 93065;022 372 11 63;ivanchenkoklyment@example.com
Авдєєнко;Любов;Вікторівна;female;1966-06-03;Фрілансер;місто Горохів;площа Лиманчик 2-й Лінія 8-ма, буд. 13 кв. 5, Бурштин , 27348;+380 83 337-70-04;vfesenko@example.net
Адамчук;Хома;Андрійович;male;1942-12-20;Астроном;село Лохвиця;площа Мелітопольська, буд. 055, Боково-Хрустальне, 54434;043 181 69 15;orynatkachenko@example.org
Оробець;Вʼячеслав;Геннадійович;male;1972-09-23;Композитор;місто Нова Каховка;шосе Ангарська, буд. 98, Гребінка, 12487;421 66 90;spashavryshkevych@example.net
Сагаль;Руслан;Дмитрович;male;1997-12-24;Електромонтер;селище Первомайськ;вулиця Ольгіївська, буд. 44 кв. 0, Тернівка , 86319;+380 (16) 508-05-19;olehpetliura@example.org
Пʼятаченко;Петро;Анатолійович;male;1941-05-07;Клавішник;місто Рожище;вулиця Монастирський, буд. 03, Чорнобиль, 23288;+380 53 460 89 46;arkadiipryimak@example.org
Юрчишин;Пармен;Олегович;male;1991-10-14;Прокурор;селище Шостка;узвіз Пiвденний, буд. 271 кв. 85, Маріуполь, 58778;+380 (87) 929-20-69;panteleimon51@example.com
Ґереґа;Єлисавета;Олегівна;female;2008-05-06;Золотар;хутір Красногорівка;провулок Травневий 5-й, буд. 08, Старий Самбір, 73238;+380 (91) 155-44-39;zakhar40@example.com
Гайденко;Марія;Анатоліївна;female;1955-02-16;Електрослюсар;село Покровськ;узвіз Сінна, буд. 7, Гайворон, 50383;089 780 78 79;miarosh@example.net
Малик;Лукʼян;Богданович;male;1957-06-21;Паблік рилейшнз;село Миронівка;площа Моторний 2-й, буд. 1 кв. 383, Куп'янськ, 05963;+380 (17) 897-06-42;svitlana12@example.com
Тимчук;Ада;Миколаївна;female;1944-05-31;Дантист;селище Гребінка;проспект Фруктовий, буд. 8 кв. 784, Радехів, 73240;+380 13 400-46-41;vkorpaniuk@example.com
Худяк;Єва;Максимівна;female;1981-12-29;Конструктор;село Деражня;провулок Топольського, буд. 63 кв. 416, Вишгород, 97545;+380 (64) 108-56-49;lvivcharenko@example.net
Данчук;Пріска;Олегівна;female;1982-04-16;Водій;село Сторожинець;шосе Сурикова 1-й, буд. 9, Привілля, 68533;099 311 30 81;panas29@example.org
Іващенко;Емілія;Сергіївна;female;1942-10-24;Музикант;місто Кам'янське;набережна Слобідська, буд. 894 кв. 517, Чуднів, 86621;+380 14 668-31-51;kostiantynhavrylets@example.com
Ірванець;Георгій;Богданович;male;1980-04-29;Складальник;хутір Українка ;узвіз Іванова, буд. 0 кв. 42, Кам'янське, 57440;+380 05 331 34 65;rostyslavbakumenko@example.com
Єщенко;Надія;Олександрівна;female;1982-07-28;Фрілансер;хутір Залізне;узвіз Моторний 1-й, буд. 045 кв. 73, Миколаїв, 91398;+380 84 169-42-37;deinekooleksandr@example.net
Остапчук;Амвросій;Степанович;male;1986-01-17;Конструктор;село Судова Вишня;проспект Лінія 23-тя, буд. 199, Тростянець, 70842;086 198-88-57;ostap20@example.com
Бандура;Устим;Олегович;male;1959-12-23;Няня;хутір Сарни;площа Новгородський, буд. 8, Ржищів, 05358;100-35-70;venhrynovychedyta@example.com
Власенко;Аніта;Володимирівна;female;1994-12-26;Стиліст;хутір Токмак;шосе Косяченка Олексія, буд. 694 кв. 750, Тиврів, 90212;460 63 33;hermanvdovenko@example.com
Фартушняк;Марта;Василівна;female;1992-08-17;Архітектор;село Кам'янець-Подільський;парк Газова, буд. 333 кв. 2, Чернівці, 32425;+380 (16) 211-47-91;gtkachenko@example.org
Каденюк;Марко;Анатолійович;male;1987-03-09;Акушер;місто Луцьк;площа Пересипська 7-ма, буд. 9, Волноваха, 56198;244 22 94;snizhana10@example.com
Голобородько;Борислав;Юрійович;male;1983-04-09;Локсмайстер;хутір Вишневе ;сквер Навігаційний, буд. 12 кв. 4, Авдіївка, 39001;046-06-58;iaroslavlevchenko@example.net
Зінчук;Ярослава;Вікторівна;female;1948-11-15;Дерун;хутір Коломия;сквер Аеродромна, буд. 09 кв. 64, Алупка, 58114;331-61-10;viacheslavderkach@example.net
Носенко;Ада;Іванівна;female;1999-08-22;Державний службовець;хутір Любомль;провулок Болградська, буд. 56 кв. 30, Білицьке, 14331;+380 05 681 61 62;kabanenkoviktoriia@example.org
Яценюк;Артем;Сергійович;male;1957-09-12;Астроном;село Чигирин;площа Радісна, буд. 05, Чоп, 14794;+380 25 035 58 35;hermanholyk@example.org
Тягнибок;Галина;Анатоліївна;female;1940-01-15;Хімік;село Стрий;вулиця Лодочний, буд. 40 кв. 186, Богодухів, 04483;+380 52 972-01-55;klavdiia13@example.net
Корбут;Демид;Максимович;male;1993-12-21;Економіст;місто Христинівка;проспект Тираспольська, буд. 42, Волноваха, 36848;385 70 97;pkaras@example.org
Карась;Зиновій;Олександрович;male;1987-05-09;Мінералог;місто Почаїв;площа Ключовий 2-й, буд. 463, Перемишляни, 09141;029 722-00-11;vasylechkoalbert@example.net
Ющенко;Камілла;Іванівна;female;1965-06-03;Золотар;село Каховка;парк Костанді 3-й, буд. 78 кв. 76, Городенка, 33290;911 46 10;fiashchenko@example.org
Демʼяненко;Йосип;Богданович;male;1948-02-01;Агроном;місто Алупка;набережна Соляний 3-й, буд. 39, Жидачів, 49538;019 771-90-66;mkaras@example.net
Валенко;Прохір;Олегович;male;1978-04-28;Будник;хутір Добромиль;набережна Житомирський 4-й, буд. 4 кв. 97, Гнівань, 05476;+380 49 244-89-99;leonnalyvaiko@example.net
Вітер;Аврелій;Юрійович;male;1939-04-07;Пілот;селище Нетішин;провулок Шовкуненка, буд. 83, Василівка , 84942;091 285 22 80;okhrim53@example.com
Корж;Аліна;Вікторівна;female;2002-11-15;Письменник;хутір Вовчанськ;узвіз Василя Кандинського 1-й, буд. 38 кв. 90, Новодружеськ, 56107;774-94-45;mykhailychenkodavyd@example.com
Теліженко;Давид;Іванович;male;1973-12-15;Інженер;місто Кобеляки;узвіз Східчастий 4-й, буд. 96 кв. 456, Дніпрорудне, 42699;096 617-33-99;leonid20@example.org
Шелест;Олена;Петрівна;female;1962-11-30;Педагог;село Липовець;сквер 1-ша Суворовська, буд. 3 кв. 701, Біла Церква, 45715;+380 73 683-85-89;abrahamovskyifrants@example.org
Гуцуляк;Вадим;Геннадійович;male;1998-06-12;Різноробочий;селище Феодосія;сквер Віцеадмірала Азарова, буд. 59 кв. 38, Ковель, 46610;+380 79 175-94-24;gchupryna@example.com
Дейнеко;Єфрем;Андрійович;male;1999-08-24;Диригент;місто Дергачі;вулиця Жевахова, буд. 60 кв. 8, Узин, 35657;+380 45 497 61 04;korbutarkadii@example.net
Ткаченко;Ілля;Геннадійович;male;1948-09-07;Електротехнік;селище Олешки;шосе Квітковий, буд. 16 кв. 05, Судак , 39994;078 463-48-37;oaronets@example.org
Лазаренко;Макар;Володимирович;male;1939-12-29;Кушнір;село Іршава;проспект Матюшенка, буд. 720, Білопілля, 48040;+380 16 413-06-55;danylchukparmen@example.com
Теличенко;Семен;Богданович;male;1979-01-16;Режисер;місто Олександрія;провулок Будівельна, буд. 455 кв. 3, Першотравенськ, 14240;+380 81 985-70-75;illia58@example.org
Перебийніс;Наталія;Андріївна;female;1953-08-26;Геофізик;село Вилкове;провулок Райдужна, буд. 44 кв. 6, Новоград-Волинський, 70364;+380 (98) 169-61-30;grebryk@example.com
Влох;Адам;Олександрович;male;1996-03-27;Етнограф;село Рені;узвіз Черняховського, буд. 49 кв. 109, Бобринець, 38035;+380 (51) 236-25-01;trokhym22@example.org
Тесленко;Устим;Андрійович;male;1973-04-05;Філолог;хутір Жидачів;проспект Черкаська, буд. 241 кв. 26, Коростишів, 61303;+380 47 555 93 95;evovk@example.com
Юхименко;Опанас;Богданович;male;1998-06-10;Сантехнік;хутір Судова Вишня;сквер Ботанічний, буд. 89, Лутугине, 89809;055 971 69 07;viacheslavpoltavets@example.net
Носенко;Соломія;Миколаївна;female;2001-05-05;Скульптор;місто Новодністровськ;узвіз Горіхова, буд. 776 кв. 439, Ржищів, 34993;+380 61 455 51 35;nzasukha@example.net
Тарасенко;Ігор;Андрійович;male;1949-05-09;Астроном;село Алчевськ;провулок Рівності, буд. 606, Краматорськ, 65965;095 789 43 59;zdankiv@example.com
Тимчук;Ірена;Олександрівна;female;1943-08-02;Географ;хутір Козятин;парк Чорноморка, буд. 985, Узин, 30284;+380 86 082 40 06;khmaraillia@example.com
Гавришкевич;Кирило;Степанович;male;1979-07-04;Флорист;село Слов'янськ;вулиця Суворовська, буд. 764, Феодосія, 03510;+380 (41) 694-84-30;olena79@example.com
Заїка;Артем;Андрійович;male;1973-04-11;Дантист;селище Кілія;парк Чумацька, буд. 53 кв. 16, Ананьїв, 37069;+380 18 211-39-27;artympetro@example.com
Давимука;Ярослав;Сергійович;male;1978-04-24;Доцент;село Ужгород;узвіз Керченський 2-й, буд. 370, Христинівка, 23018;+380 (80) 043-46-32;dereviankosymon@example.net
Тичина;Григорій;Анатолійович;male;1969-05-27;Головний меркшейдер;селище Канів;площа Геранієва, буд. 96, Підгородне, 20078;+380 04 371 74 48;xdashenko@example.net
Чуйко;Марія;Юріївна;female;1999-09-24;Фрілансер;селище Торецьк;парк Суднобудівна, буд. 456, Рені, 55243;038 655 02 51;bebeshkoolha@example.org
Туркало;Альбіна;Вікторівна;female;1950-07-26;Флорист;хутір Канів;провулок Новікова 2-га, буд. 2 кв. 711, Ірміно, 91398;584 20 92;tetianapiddubnyi@example.com
Ткаченко;Богуслава;Василівна;female;1977-05-12;Круп'є;село Мукачево;проспект Естонський, буд. 2 кв. 2, Харків, 32245;+380 23 601-29-31;markoakulenko@example.com
Колодуб;Леон;Олександрович;male;1980-02-19;Прокурор;селище Ізяслав;проспект Спортивна, буд. 6 кв. 560, Ворожба, 40779;+380 11 878-01-25;mvalenko@example.com
Базилевська;Святослава;Іванівна;female;1952-01-10;Електромонтер;місто Вінниця;парк Хаджибейський 2-й, буд. 3 кв. 67, Суми, 06935;121-68-06;bohuslava68@example.com
Перепелиця;Леон;Сергійович;male;1973-09-15;Фотограф;хутір Іллінці;проспект Тимірязєва, буд. 23 кв. 453, Карлівка, 49462;+380 (91) 178-15-55;cdziuba@example.net
Мірошниченко;Анастасія;Сергіївна;female;1986-05-21;Хімік;місто Вашківці;сквер Герцена, буд. 3, Кропивницький, 39911;062 849-75-62;klyment24@example.org
Павличенко;Аарон;Анатолійович;male;1979-06-22;Дизайнер;хутір Сіверськ;сквер Різницький, буд. 1, Золочів, 81920;760-61-99;mykhailodakhno@example.com
Радченко;Орхип;Олександрович;male;1971-11-02;Редактор;селище Тульчин;сквер Наявний 7-й, буд. 98 кв. 8, Соснівка , 88316;064 480 16 24;sarkhypenko@example.net
Жученко;Ігнат;Вікторович;male;1992-07-06;Нотаріус;село Сарни;парк 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 3 кв. 2, Лебедин, 85702;462-30-22;derkachpanteleimon@example.com
Годунок;Едита;Вікторівна;female;1955-05-08;Ботанік;селище Узин;набережна Одеський, буд. 378 кв. 645, Умань, 68675;952 84 77;arsen96@example.net
Тимченко;Тетяна;Анатоліївна;female;1990-04-27;Музикознавець;місто Берегове;узвіз Тінистий, буд. 442, Нова Одеса, 11459;+380 09 472-03-60;hohololeksandr@example.com
Фастенко;Данна;Дмитрівна;female;1996-06-22;Електрослюсар;місто Тростянець;парк Тиха, буд. 8, Городок, 84860;+380 (15) 985-89-95;rkhomyk@example.net
Приходько;Стефан;Євгенович;male;1992-08-15;Публіцист;село Бар;сквер Ланжерон, буд. 7 кв. 980, Миколаїв, 36231;051 899-28-81;hzhuchenko@example.net
Шахрай;Олесь;Дмитрович;male;1963-03-03;Патологоанатом;селище Луганськ;шосе Нежданової, буд. 1, Бунге , 65939;+380 77 249-97-74;heorhiizhalilo@example.com
Хоменко;Лукʼян;Романович;male;1986-02-23;Реабілітолог;село Чигирин;узвіз Кутова, буд. 50, Вінниця, 31397;+380 88 934-36-14;siurchuk@example.com
Масоха;Розалія;Миколаївна;female;1965-05-22;Скульптор;селище Лозова ;набережна Композитора Ніщинського, буд. 9, Інкерман, 87545;021 541 85 32;omelian06@example.org
Забіла;Ростислав;Андрійович;male;2004-06-25;Флорист;селище Вилкове;шосе Лінія 39-та, буд. 903 кв. 510, Шепетівка, 34351;+380 65 242-08-28;mturkalo@example.net
Гайворонська;Альбіна;Петрівна;female;1953-04-21;Пекар;хутір Старокостянтинів;парк Листяний, буд. 437, Сновськ, 93586;032 734 14 17;dmoskal@example.com
